case,source,accuracy,excluded_2x1024_or_3x512,spice_npz_present,spice_npz_path,error_present,error_path,cd_timing_run_present,cd_timing_run_dir,source_detail
experimental/hidden_3/hidden_64,April29 timing CD,297/360 (82.50%),False,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/experimental/hidden_3/hidden_64/spice/validation_states_spice_layers.npz,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/experimental/hidden_3/hidden_64/20260429-104439_experimental/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/experimental/hidden_3/hidden_64/20260429-104439_experimental,audit
experimental/hidden_3/hidden_128,April29 timing CD,346/360 (96.11%),False,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/experimental/hidden_3/hidden_128/spice/validation_states_spice_layers.npz,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/experimental/hidden_3/hidden_128/20260429-104457_experimental/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/experimental/hidden_3/hidden_128/20260429-104457_experimental,audit
experimental/hidden_3/hidden_256,April29 timing CD,298/360 (82.78%),False,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/experimental/hidden_3/hidden_256/spice/validation_states_spice_layers.npz,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/experimental/hidden_3/hidden_256/20260429-104531_experimental/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/experimental/hidden_3/hidden_256/20260429-104531_experimental,audit
experimental/hidden_3/hidden_512,April29 timing CD,331/360 (91.94%),True,False,,False,,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/experimental/hidden_3/hidden_512/20260429-104546_experimental,audit
single_diode_exponential/hidden_1/hidden_64,current replacement,329/360 (91.39%),False,True,<source-tree>/labs/figures_for_paper_digits/timings/high_accuracy_replacement_reruns_maxicao_20260518-114011/single_diode_exponential_1x64/20260518-114015_single_diode_exponential/validation_states_spice_layers.npz,True,<source-tree>/labs/figures_for_paper_digits/timings/high_accuracy_replacement_reruns_maxicao_20260518-114011/single_diode_exponential_1x64/20260518-114015_single_diode_exponential/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json,True,<source-tree>/labs/figures_for_paper_digits/timings/high_accuracy_replacement_reruns_maxicao_20260518-114011/single_diode_exponential_1x64/20260518-114015_single_diode_exponential,breakdown
single_diode_exponential/hidden_1/hidden_128,April29 timing CD,342/360 (95.00%),False,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/single_diode_exponential/hidden_1/hidden_128/spice/validation_states_spice_layers.npz,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/single_diode_exponential/hidden_1/hidden_128/20260429-104705_single_diode_exponential/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/single_diode_exponential/hidden_1/hidden_128/20260429-104705_single_diode_exponential,audit
single_diode_exponential/hidden_1/hidden_256,corrected CD-only against existing SPICE,344/360 (95.56%),False,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/single_diode_exponential/hidden_1/hidden_256/spice/validation_states_spice_layers.npz,True,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/single_diode_exponential/hidden_1/hidden_256/20260519-071553_single_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,True,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/single_diode_exponential/hidden_1/hidden_256/20260519-071553_single_diode_exponential,breakdown
single_diode_exponential/hidden_1/hidden_512,corrected CD-only against existing SPICE,347/360 (96.39%),False,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/single_diode_exponential/hidden_1/hidden_512/spice/validation_states_spice_layers.npz,True,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/single_diode_exponential/hidden_1/hidden_512/20260519-071556_single_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,True,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/single_diode_exponential/hidden_1/hidden_512/20260519-071556_single_diode_exponential,breakdown
single_diode_exponential/hidden_1/hidden_1024,corrected CD-only against existing SPICE,351/360 (97.50%),False,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/single_diode_exponential/hidden_1/hidden_1024/spice/validation_states_spice_layers.npz,True,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/single_diode_exponential/hidden_1/hidden_1024/20260519-071553_single_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,True,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/single_diode_exponential/hidden_1/hidden_1024/20260519-071553_single_diode_exponential,breakdown
single_diode_exponential/hidden_2/hidden_64,April29 timing CD,308/360 (85.56%),False,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/single_diode_exponential/hidden_2/hidden_64/spice/validation_states_spice_layers.npz,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/single_diode_exponential/hidden_2/hidden_64/20260429-104741_single_diode_exponential/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/single_diode_exponential/hidden_2/hidden_64/20260429-104741_single_diode_exponential,audit
single_diode_exponential/hidden_2/hidden_128,April29 timing CD,338/360 (93.89%),False,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/single_diode_exponential/hidden_2/hidden_128/spice/validation_states_spice_layers.npz,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/single_diode_exponential/hidden_2/hidden_128/20260429-104801_single_diode_exponential/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/single_diode_exponential/hidden_2/hidden_128/20260429-104801_single_diode_exponential,audit
single_diode_exponential/hidden_2/hidden_256,corrected CD-only against existing SPICE,322/360 (89.44%),False,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/single_diode_exponential/hidden_2/hidden_256/spice/validation_states_spice_layers.npz,True,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/single_diode_exponential/hidden_2/hidden_256/20260519-071601_single_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,True,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/single_diode_exponential/hidden_2/hidden_256/20260519-071601_single_diode_exponential,breakdown
single_diode_exponential/hidden_2/hidden_512,April29 timing CD,301/360 (83.61%),False,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/single_diode_exponential/hidden_2/hidden_512/spice/validation_states_spice_layers.npz,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/single_diode_exponential/hidden_2/hidden_512/20260429-104848_single_diode_exponential/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/single_diode_exponential/hidden_2/hidden_512/20260429-104848_single_diode_exponential,audit
single_diode_exponential/hidden_2/hidden_1024,April29 timing CD,335/360 (93.06%),True,False,,False,,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/single_diode_exponential/hidden_2/hidden_1024/20260429-104930_single_diode_exponential,audit
single_diode_exponential/hidden_3/hidden_64,current replacement corrected CD,322/360 (89.44%),False,True,<source-tree>/labs/figures_for_paper_digits/timings/high_accuracy_replacement_reruns_maxicao_20260518-114011/single_diode_exponential_3x64/20260518-114128_single_diode_exponential/validation_states_spice_layers.npz,True,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/high_accuracy_replacement/single_diode_exponential_3x64/20260519-071747_single_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,True,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/high_accuracy_replacement/single_diode_exponential_3x64/20260519-071747_single_diode_exponential,breakdown
single_diode_exponential/hidden_3/hidden_128,accepted EP epoch3 corrected CD,332/360 (92.22%),False,True,<paper-source-results>/digits_simulations/single_diode_exponential/hidden_3/hidden_128/spice_validation_triplet_input_gain17_20260518/ep_epoch3_92p22/validation/validation_inputs_layer0_spice_layers.npz,True,<paper-source-results>/digits_simulations/single_diode_exponential/hidden_3/hidden_128/spice_validation_triplet_input_gain17_20260518/ep_epoch3_92p22/validation_batch1/20260518-231928_single_diode_exponential/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json,True,<paper-source-results>/digits_simulations/single_diode_exponential/hidden_3/hidden_128/spice_validation_triplet_input_gain17_20260518/ep_epoch3_92p22/validation_batch1/20260518-231928_single_diode_exponential,breakdown
single_diode_exponential/hidden_3/hidden_256,corrected CD-only against existing SPICE,304/360 (84.44%),False,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/single_diode_exponential/hidden_3/hidden_256/spice/validation_states_spice_layers.npz,True,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/single_diode_exponential/hidden_3/hidden_256/20260519-071603_single_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,True,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/single_diode_exponential/hidden_3/hidden_256/20260519-071603_single_diode_exponential,breakdown
single_diode_exponential/hidden_3/hidden_512,corrected CD-only no SPICE reference,299/360 (83.06%),True,False,,False,,True,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_excluded_expclip165_maxnewton8_20260520-20260520-135414/single_diode_exponential/hidden_3/hidden_512/20260520-135417_single_diode_exponential,audit
