case,accuracy,included,node_weighted_p90_rel_l1,error_path,source
single_diode_exponential/hidden_1/hidden_64,329/360 (91.39%),True,1.5541532226706025e-05,<source-tree>/labs/figures_for_paper_digits/timings/high_accuracy_replacement_reruns_maxicao_20260518-114011/single_diode_exponential_1x64/20260518-114015_single_diode_exponential/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json,current replacement
single_diode_exponential/hidden_1/hidden_128,342/360 (95.00%),True,1.6141491180403056e-05,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/single_diode_exponential/hidden_1/hidden_128/20260429-104705_single_diode_exponential/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json,April29 timing CD
single_diode_exponential/hidden_1/hidden_256,344/360 (95.56%),True,1.636078529540565e-05,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/single_diode_exponential/hidden_1/hidden_256/20260519-071553_single_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,corrected CD-only against existing SPICE
single_diode_exponential/hidden_1/hidden_512,347/360 (96.39%),True,1.1681781091374962e-05,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/single_diode_exponential/hidden_1/hidden_512/20260519-071556_single_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,corrected CD-only against existing SPICE
single_diode_exponential/hidden_1/hidden_1024,351/360 (97.50%),True,1.1361879585504223e-05,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/single_diode_exponential/hidden_1/hidden_1024/20260519-071553_single_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,corrected CD-only against existing SPICE
single_diode_exponential/hidden_2/hidden_64,308/360 (85.56%),True,1.3910690885327073e-05,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/single_diode_exponential/hidden_2/hidden_64/20260429-104741_single_diode_exponential/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json,April29 timing CD
single_diode_exponential/hidden_2/hidden_128,338/360 (93.89%),True,1.078949246537758e-05,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/single_diode_exponential/hidden_2/hidden_128/20260429-104801_single_diode_exponential/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json,April29 timing CD
single_diode_exponential/hidden_2/hidden_256,322/360 (89.44%),True,2.0558013715895263e-05,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/single_diode_exponential/hidden_2/hidden_256/20260519-071601_single_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,corrected CD-only against existing SPICE
single_diode_exponential/hidden_2/hidden_512,301/360 (83.61%),True,3.813103517614537e-05,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/single_diode_exponential/hidden_2/hidden_512/20260429-104848_single_diode_exponential/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json,April29 timing CD
single_diode_exponential/hidden_2/hidden_1024,335/360 (93.06%),False,,,April29 timing CD
single_diode_exponential/hidden_3/hidden_64,322/360 (89.44%),True,9.130020219721943e-05,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/high_accuracy_replacement/single_diode_exponential_3x64/20260519-071747_single_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,current replacement corrected CD
single_diode_exponential/hidden_3/hidden_128,332/360 (92.22%),True,1.598938975750635e-05,<paper-source-results>/digits_simulations/single_diode_exponential/hidden_3/hidden_128/spice_validation_triplet_input_gain17_20260518/ep_epoch3_92p22/validation_batch1/20260518-231928_single_diode_exponential/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json,accepted EP epoch3 corrected CD
single_diode_exponential/hidden_3/hidden_256,304/360 (84.44%),True,9.895623232375704e-05,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/single_diode_exponential/hidden_3/hidden_256/20260519-071603_single_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,corrected CD-only against existing SPICE
single_diode_exponential/hidden_3/hidden_512,299/360 (83.06%),False,,,corrected CD-only no SPICE reference
